id,qname,heading,text,type,diagram,website,updated
,topic,topic,A topic of some page or document.,ObjectProperty,,http://xmlns.com/foaf/0.1/topic,2026-07-23T18:31:51.924316
,primaryTopic,primaryTopic,The primary topic of some page or document.,ObjectProperty,,http://xmlns.com/foaf/0.1/primaryTopic,2026-07-23T18:31:51.924316
,focus,focus,The underlying or 'focal' entity associated with some SKOS-described concept.,ObjectProperty,,http://xmlns.com/foaf/0.1/focus,2026-07-23T18:31:51.924316
,page,page,A page or document about this thing.,ObjectProperty,,http://xmlns.com/foaf/0.1/page,2026-07-23T18:31:51.924316
,theme,theme,A theme.,ObjectProperty,,http://xmlns.com/foaf/0.1/theme,2026-07-23T18:31:51.924316
,account,account,Indicates an account held by this agent.,ObjectProperty,,http://xmlns.com/foaf/0.1/account,2026-07-23T18:31:51.924316
,holdsAccount,holdsAccount,Indicates an account held by this agent.,ObjectProperty,,http://xmlns.com/foaf/0.1/holdsAccount,2026-07-23T18:31:51.924316
,accountServiceHomepage,accountServiceHomepage,Indicates a homepage of the service provide for this online account.,ObjectProperty,,http://xmlns.com/foaf/0.1/accountServiceHomepage,2026-07-23T18:31:51.924316
,member,member,Indicates a member of a Group,ObjectProperty,,http://xmlns.com/foaf/0.1/member,2026-07-23T18:31:51.924316
,mbox_sha1sum,mbox_sha1sum,"The sha1sum of the URI of an Internet mailbox associated with exactly one owner, the  first owner of the mailbox.",DatatypeProperty,,http://xmlns.com/foaf/0.1/mbox_sha1sum,2026-07-23T18:31:51.924316
,gender,gender,The gender of this Agent (typically but not necessarily 'male' or 'female').,DatatypeProperty,,http://xmlns.com/foaf/0.1/gender,2026-07-23T18:31:51.924316
,geekcode,geekcode,"A textual geekcode for this person, see http://www.geekcode.com/geek.html",DatatypeProperty,,http://xmlns.com/foaf/0.1/geekcode,2026-07-23T18:31:51.924316
,dnaChecksum,dnaChecksum,A checksum for the DNA of some thing. Joke.,DatatypeProperty,,http://xmlns.com/foaf/0.1/dnaChecksum,2026-07-23T18:31:51.924316
,sha1,sha1,"A sha1sum hash, in hex.",DatatypeProperty,,http://xmlns.com/foaf/0.1/sha1,2026-07-23T18:31:51.924316
,title,title,"Title (Mr, Mrs, Ms, Dr. etc)",DatatypeProperty,,http://xmlns.com/foaf/0.1/title,2026-07-23T18:31:51.924316
,nick,nick,"A short informal nickname characterising an agent (includes login identifiers, IRC and other chat nicknames).",DatatypeProperty,,http://xmlns.com/foaf/0.1/nick,2026-07-23T18:31:51.924316
,jabberID,jabberID,A jabber ID for something.,DatatypeProperty,,http://xmlns.com/foaf/0.1/jabberID,2026-07-23T18:31:51.924316
,aimChatID,aimChatID,An AIM chat ID,DatatypeProperty,,http://xmlns.com/foaf/0.1/aimChatID,2026-07-23T18:31:51.924316
,skypeID,skypeID,A Skype ID,DatatypeProperty,,http://xmlns.com/foaf/0.1/skypeID,2026-07-23T18:31:51.924316
,icqChatID,icqChatID,An ICQ chat ID,DatatypeProperty,,http://xmlns.com/foaf/0.1/icqChatID,2026-07-23T18:31:51.924316
,yahooChatID,yahooChatID,A Yahoo chat ID,DatatypeProperty,,http://xmlns.com/foaf/0.1/yahooChatID,2026-07-23T18:31:51.924316
,msnChatID,msnChatID,An MSN chat ID,DatatypeProperty,,http://xmlns.com/foaf/0.1/msnChatID,2026-07-23T18:31:51.924316
,name,name,A name for some thing.,DatatypeProperty,,http://xmlns.com/foaf/0.1/name,2026-07-23T18:31:51.924316
,firstName,firstName,The first name of a person.,DatatypeProperty,,http://xmlns.com/foaf/0.1/firstName,2026-07-23T18:31:51.924316
,lastName,lastName,The last name of a person.,DatatypeProperty,,http://xmlns.com/foaf/0.1/lastName,2026-07-23T18:31:51.924316
,givenName,givenName,The given name of some person.,DatatypeProperty,,http://xmlns.com/foaf/0.1/givenName,2026-07-23T18:31:51.924316
,surname,surname,The surname of some person.,DatatypeProperty,,http://xmlns.com/foaf/0.1/surname,2026-07-23T18:31:51.924316
,family_name,family_name,The family name of some person.,DatatypeProperty,,http://xmlns.com/foaf/0.1/family_name,2026-07-23T18:31:51.924316
,familyName,familyName,The family name of some person.,DatatypeProperty,,http://xmlns.com/foaf/0.1/familyName,2026-07-23T18:31:51.924316
,plan,plan,"A .plan comment, in the tradition of finger and '.plan' files.",DatatypeProperty,,http://xmlns.com/foaf/0.1/plan,2026-07-23T18:31:51.924316
,myersBriggs,myersBriggs,A Myers Briggs (MBTI) personality classification.,DatatypeProperty,,http://xmlns.com/foaf/0.1/myersBriggs,2026-07-23T18:31:51.924316
,accountName,accountName,Indicates the name (identifier) associated with this online account.,DatatypeProperty,,http://xmlns.com/foaf/0.1/accountName,2026-07-23T18:31:51.924316
,birthday,birthday,"The birthday of this Agent, represented in mm-dd string form, eg. '12-31'.",DatatypeProperty,,http://xmlns.com/foaf/0.1/birthday,2026-07-23T18:31:51.924316
,age,age,The age in years of some agent.,DatatypeProperty,,http://xmlns.com/foaf/0.1/age,2026-07-23T18:31:51.924316
,status,status,A string expressing what the user is happy for the general public (normally) to know about their current activity.,DatatypeProperty,,http://xmlns.com/foaf/0.1/status,2026-07-23T18:31:51.924316
,givenname,givenname,,DatatypeProperty,,http://xmlns.com/foaf/0.1/givenname,2026-07-23T18:31:51.924316
